Quantity,Designators,Package,Value,MPN,Manufacturer
6,"BOOT_SW, EN_SW, HOME, MINUS, PLUS, POWER",TLS3315,TLS3315,,
3,"C1, C11, C16",CAPC1608 (0603),10μF,,
2,"C2, C10",CAPC1608 (0603),1μF,,
6,"C3, C6, C7, C14, C15, C18",CAPC1608 (0603),0.1μF,,
2,"C8, C9",CAPC1608 (0603),100nF,,
2,"C12, C13",CAPC1608 (0603),100pF,,
1,C17,CAPC1608 (0603),22μF,,
13,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13",SOD3717X135,1N4148W,,
2,"J1, JTAG",Pin Header 2.54mm 1x04 ⌀0.9mm,,,
1,J2,Pixart_WII,Pixart_WII (Pixart_WII),,
1,J3,Wiimote Expansion Port,Wiimote Expansion,,
1,J4,Dual Battery Contacts Wiimote/108-2,,108-2,Keystone Electronics
2,"J5, J6",Pin Header 2.54mm 1x01 ⌀0.9mm,,,
1,L1,INDC1608 (0603),470nH,,
1,LED1,OSRAM_CHIPLED0603_DIFFUSED,BLUE,,
1,LED2,OSRAM_CHIPLED0603_DIFFUSED,RED,,
1,LED3,OSRAM_CHIPLED0603_DIFFUSED,GREEN,,
1,LED4,OSRAM_CHIPLED0603_DIFFUSED,YELLOW,,
1,Q1,SOT23-3P95_230X110L50X40,BC817,,
6,"R1, R2, R9, R10, R11, R13",RESC1608 (0603),10kΩ,,
4,"R3, R4, R5, R6",RESC1608 (0603),100Ω,,
1,R7,RESC1608 (0603),300Ω,,
2,"R12, R14",RESC1608 (0603),3.3kΩ,,
4,"R15, R16, R17, R18",RESC1608 (0603),680Ω,,
1,R19,RESC1608 (0603),"3,300Ω",,
1,R20,RESC1608 (0603),453kΩ,,
2,"R21, R22",RESC1608 (0603),100kΩ,,
1,R23,RESC1608 (0603),1kΩ,,
1,R24,RESC1608 (0603),5Ω,,
1,SYNC,CK_PTS645Sx952,C&K PTS645Sx952,,
1,U1,ESP32 Wroom 32,ESP32 Wroom 32,,
1,U3,LGA-14L,LSM6,,
1,U4,MSOP-8,PAM8302 Audio Amplifier (MSOP-8),,
1,U5,SOT-563,TPS61023 (SOT-563),,
1,XO1,"4-SMD, No Lead",,SG-210STF 25.0000ML0,Seiko Epson Corporation
